Ensembl Gene ID	Ensembl Transcript ID	Associated Gene Name	Chromosome Name	Gene Start (bp)	Gene End (bp)
ENSG00000080947	ENST00000263511	CROCCP3	1	16793931	16825752
ENSG00000080947	ENST00000591348	CROCCP3	1	16793931	16825752
ENSG00000080947	ENST00000420820	CROCCP3	1	16793931	16825752
ENSG00000080947	ENST00000591316	CROCCP3	1	16793931	16825752
ENSG00000080947	ENST00000590118	CROCCP3	1	16793931	16825752
ENSG00000080947	ENST00000589964	CROCCP3	1	16793931	16825752
ENSG00000213864	ENST00000519625	EEF1B2P2	5	67455046	67455721
ENSG00000206014	ENST00000533722	OR7E161P	8	11786101	11787072
ENSG00000206014	ENST00000341827	OR7E161P	8	11786101	11787072
ENSG00000203276	ENST00000327057	AL353898.2	1	54498816	54500553
ENSG00000271443	ENST00000603297	RP11-541E12.1	2	38762400	38763391
ENSG00000271443	ENST00000605062	RP11-541E12.1	2	38762400	38763391
ENSG00000233425	ENST00000432816	KRT18P67	9	125599836	125601099
ENSG00000217330	ENST00000402595	SSXP10	6	118910233	118910797
ENSG00000212802	ENST00000391491	RPL15P3	6	12514342	12515006
ENSG00000212802	ENST00000450992	RPL15P3	6	12514342	12515006
ENSG00000254487	ENST00000532682	RP11-707M1.7	11	49839330	49847105
ENSG00000237917	ENST00000435945	PARP4P1	Y	28740998	28780799
ENSG00000236041	ENST00000448769	COX6CP18	11	2792586	2792807
ENSG00000225183	ENST00000444055	RP4-758J24.4	1	54555529	54555766
ENSG00000235735	ENST00000417266	RPL7AP72	X	127447259	127448026
ENSG00000234901	ENST00000443510	MTND6P13	X	101263497	101264019
ENSG00000255268	ENST00000528639	RP11-707M1.9	11	49846391	49848276
ENSG00000270437	ENST00000605001	RP11-511I11.2	2	63310143	63314457
ENSG00000251174	ENST00000513552	TSEN2P1	4	176415765	176417151
ENSG00000237611	ENST00000422908	AL353898.3	1	54565641	54565897
ENSG00000249197	ENST00000511932	OR10J9P	1	159375213	159376199
ENSG00000225549	ENST00000429807	RP11-210H10__A.1	6	119078681	119104583
ENSG00000225549	ENST00000404721	RP11-210H10__A.1	6	119078681	119104583
ENSG00000248574	ENST00000515830	ADAM20P2	4	176496019	176497291
ENSG00000219061	ENST00000526452	TRIM51FP	11	49854692	49860872
ENSG00000251525	ENST00000514289	TCP11X3P	X	101428072	101439994
ENSG00000251525	ENST00000508552	TCP11X3P	X	101428072	101439994
ENSG00000213201	ENST00000435729	FABP5P10	2	152042702	152043109
ENSG00000228518	ENST00000451854	SURF6P1	Y	19304706	19305532
ENSG00000232403	ENST00000428700	RP11-511I11.1	2	63335253	63335564
ENSG00000248716	ENST00000508637	RP11-362M19.1	4	115025094	115025381
ENSG00000213144	ENST00000392530	RP11-64B16.2	12	119632655	119633199
ENSG00000226802	ENST00000429864	RP11-72I18.1	X	127574907	127575763
ENSG00000237173	ENST00000444140	RP5-866L20.2	1	54990497	54990604
ENSG00000242412	ENST00000491724	DBIL5P2	2	63344986	63346677
ENSG00000242412	ENST00000443827	DBIL5P2	2	63344986	63346677
ENSG00000271595	ENST00000604289	TCEB1P35	Y	19576759	19577094
ENSG00000231351	ENST00000418877	AC111200.7	2	87157373	87157877
ENSG00000227238	ENST00000416781	TTC39DP	2	38990676	38992363
ENSG00000227453	ENST00000427917	HNRNPA1P63	1	55002469	55003431
ENSG00000255105	ENST00000534173	RP11-5A11.1	8	104571327	104571617
ENSG00000250215	ENST00000514821	CIR1P2	4	115634735	115636076
ENSG00000234272	ENST00000414021	RPL30P2	2	152988069	152988359
ENSG00000220139	ENST00000402519	RP3-354N19.1	6	119480462	119480641
ENSG00000250289	ENST00000510889	VWA8P1	5	68150737	68150912
ENSG00000254714	ENST00000534129	RP11-163O19.1	11	49872181	49884080
ENSG00000254644	ENST00000529260	RP11-5A11.2	8	104580831	104581206
ENSG00000244661	ENST00000479785	TRBV12-1	7	142216290	142216732
ENSG00000231100	ENST00000435442	RP11-740C1.2	1	159527158	159527990
ENSG00000253684	ENST00000521828	RP11-10D7.2	8	33499099	33499457
ENSG00000254150	ENST00000524110	RP11-379I19.2	8	60470087	60470414
ENSG00000239944	ENST00000475637	TRBV8-2	7	142245303	142245572
ENSG00000239344	ENST00000481577	RP11-771F20.1	8	104780509	104781257
ENSG00000226082	ENST00000456185	RP11-24H1.1	3	62912046	62912557
ENSG00000230391	ENST00000446095	RPSAP23	2	116225632	116226514
ENSG00000226170	ENST00000431382	U82671.12	X	151953177	151953993
ENSG00000216316	ENST00000406333	RP3-354N19.3	6	119590298	119590879
ENSG00000255550	ENST00000532033	RP11-163O19.11	11	49875632	49880954
ENSG00000233716	ENST00000438685	AC074367.1	2	63459588	63460712
ENSG00000179577	ENST00000319051	AP003471.1	8	105432721	105433132
ENSG00000242771	ENST00000489095	TRBV5-2	7	142259059	142259331
ENSG00000236710	ENST00000431546	AC108448.2	11	3105623	3106673
ENSG00000251308	ENST00000513456	MRPS33P3	4	116064138	116064459
ENSG00000269787	ENST00000595284	OR7A3P	19	15014044	15014985
ENSG00000269787	ENST00000598431	OR7A3P	19	15014044	15014985
ENSG00000271890	ENST00000606962	OR10AE1P	1	159551410	159552438
ENSG00000255174	ENST00000533272	RP11-481A20.4	8	11856596	11856977
ENSG00000253569	ENST00000523979	VENTXP5	8	33579823	33580597
ENSG00000226114	ENST00000415445	AC111200.8	2	87161585	87161945
ENSG00000158731	ENST00000289731	OR10J6P	1	159568088	159569017
ENSG00000234200	ENST00000452967	U82671.8	X	152197130	152198791
ENSG00000243889	ENST00000481590	TRBV8-1	7	142273056	142273334
ENSG00000255214	ENST00000526053	RP11-163O19.10	11	49893378	49895619
ENSG00000218728	ENST00000416086	KRT18P44	X	127848484	127849768
ENSG00000213216	ENST00000392902	RP11-355O1.7	9	125791652	125792032
ENSG00000225544	ENST00000435222	KB-1027C11.4	22	22239621	22240012
ENSG00000254507	ENST00000602581	RP11-481A20.10	8	11860909	11861591
ENSG00000254507	ENST00000532329	RP11-481A20.10	8	11860909	11861591
ENSG00000250693	ENST00000504693	RPF2P2	4	116549968	116550863
ENSG00000255190	ENST00000529746	TRIM51DP	11	49896497	49898190
ENSG00000213197	ENST00000439252	AC012066.1	2	153246451	153247144
ENSG00000251578	ENST00000453262	TRBV21-1	7	142344427	142344887
ENSG00000218265	ENST00000406274	RPS4XP7	6	13521498	13522277
ENSG00000253454	ENST00000519723	NDUFA5P2	8	105578314	105578657
ENSG00000240738	ENST00000468681	RP1-273G13.1	8	33716998	33717741
ENSG00000240578	ENST00000424543	TRBV22-1	7	142349249	142349699
ENSG00000255016	ENST00000530817	RP11-481A20.8	8	11882753	11883107
ENSG00000248488	ENST00000512491	PGAM4P2	4	116685255	116685975
ENSG00000232114	ENST00000435255	AC018693.5	2	38996407	38997266
ENSG00000223603	ENST00000412857	CRPP1	1	159674773	159675397
ENSG00000229979	ENST00000421099	U82670.9	X	152220509	152220772
ENSG00000271667	ENST00000605241	RP11-338I24.1	2	117444794	117444963
ENSG00000254800	ENST00000530696	RP11-163O19.3	11	49904551	49905645
ENSG00000225078	ENST00000422282	RP11-123N4.4	9	125824124	125825591
ENSG00000223995	ENST00000415214	RPL32P35	X	127972419	127972812
ENSG00000198367	ENST00000597719	OR7A11P	19	15027228	15028192
ENSG00000198367	ENST00000358601	OR7A11P	19	15027228	15028192
ENSG00000243939	ENST00000483263	RP11-200A13.1	8	105993392	105993807
ENSG00000203415	ENST00000366235	AC016734.1	2	63745026	63746647
ENSG00000254817	ENST00000528715	OR7E160P	8	11891155	11892121
ENSG00000235675	ENST00000456193	AC151961.1	X	152387936	152393740
ENSG00000235675	ENST00000432553	AC151961.1	X	152387936	152393740
ENSG00000250363	ENST00000515767	KRT18P21	4	116841863	116843134
ENSG00000239992	ENST00000498804	TRBVA	7	142389237	142389691
ENSG00000216710	ENST00000404167	COX6A1P3	6	121102366	121102658
ENSG00000270776	ENST00000605605	RP11-17G11.1	2	153395711	153395941
ENSG00000232621	ENST00000428434	C4BPAP2	1	207399143	207402547
ENSG00000228578	ENST00000422712	TUBB1P2	Y	19628716	19630918
ENSG00000253997	ENST00000519012	RP11-200A13.3	8	106002536	106002920
ENSG00000228305	ENST00000436998	AC016734.2	2	63849309	63849965
ENSG00000228305	ENST00000425312	AC016734.2	2	63849309	63849965
ENSG00000197549	ENST00000419303	PRAMENP	22	22345496	22398332
ENSG00000197549	ENST00000337471	PRAMENP	22	22345496	22398332
ENSG00000197549	ENST00000548391	PRAMENP	22	22345496	22398332
ENSG00000197549	ENST00000546598	PRAMENP	22	22345496	22398332
ENSG00000234932	ENST00000438726	AC009969.1	2	153707167	153707338
ENSG00000253413	ENST00000522215	RP11-960H2.2	8	60672606	60672822
ENSG00000188512	ENST00000523393	RP1-273G13.2	8	33827079	33827397
ENSG00000188512	ENST00000341045	RP1-273G13.2	8	33827079	33827397
ENSG00000264435	ENST00000581995	RP11-338L22.3	17	28299532	28300045
ENSG00000233075	ENST00000455176	AL023583.1	6	13817713	13817966
ENSG00000255111	ENST00000525742	RP11-163O19.8	11	49913814	49915329
ENSG00000060303	ENST00000498293	RPS17P5	6	50824968	50825375
ENSG00000231095	ENST00000449769	GYG1P3	1	55688052	55689045
ENSG00000240271	ENST00000465776	RP11-200A13.2	8	106023335	106023796
ENSG00000223922	ENST00000439895	ASS1P2	2	39037574	39038796
ENSG00000220447	ENST00000407291	RP1-276J11.2	6	121702618	121703006
ENSG00000231600	ENST00000433225	AC151960.1	X	152415692	152416269
ENSG00000226613	ENST00000450175	GHc-1077H7.2	X	101514031	101516680
ENSG00000226213	ENST00000446233	UBQLN4P2	2	153733334	153734281
ENSG00000253723	ENST00000518653	RP11-960H2.1	8	60733683	60733992
ENSG00000224869	ENST00000355719	AC062016.1	2	117484029	117484347
ENSG00000231259	ENST00000452554	AC125232.1	2	87257800	87303536
ENSG00000231259	ENST00000469523	AC125232.1	2	87257800	87303536
ENSG00000220868	ENST00000404272	MRPL35P1	6	13949326	13949897
ENSG00000267482	ENST00000590718	RNY4P13	17	28386072	28386165
ENSG00000229920	ENST00000449995	RPS4XP5	2	63869589	63871172
ENSG00000229920	ENST00000419038	RPS4XP5	2	63869589	63871172
ENSG00000253318	ENST00000518897	TMCC1P1	8	106207218	106209197
ENSG00000235226	ENST00000426330	RP11-419N10.5	1	159728960	159729379
ENSG00000226341	ENST00000437562	AC062016.2	2	117508734	117509224
ENSG00000272714	ENST00000608233	RP1-276J11.3	6	121710470	121711503
ENSG00000176923	ENST00000449848	OR7A15P	19	15037870	15038836
ENSG00000266876	ENST00000583091	RP11-1148O4.1	17	28395650	28396649
ENSG00000235871	ENST00000420950	AC062016.3	2	117575662	117576337
ENSG00000216913	ENST00000402760	RP4-753D5.3	6	50865328	50865938
ENSG00000234592	ENST00000458202	RP11-41L14.1	X	128175513	128177160
ENSG00000230158	ENST00000435623	MTND1P28	2	117781494	117782443
ENSG00000249183	ENST00000504193	SUMO2P4	5	68364752	68365027
ENSG00000236987	ENST00000449019	NDUFA5P8	11	3297275	3297620
ENSG00000219784	ENST00000406666	RP1-172I22.1	6	121799419	121801054
ENSG00000243171	ENST00000485656	RP11-273P3.1	8	106300058	106300593
ENSG00000226339	ENST00000444468	RPS26P56	X	128542359	128542598
ENSG00000231900	ENST00000440922	GOT2P1	1	55833139	55834447
ENSG00000259614	ENST00000559595	RP11-522B15.6	15	96931443	96932285
ENSG00000214025	ENST00000397288	ATP5F1P4	2	154015452	154016197
ENSG00000254700	ENST00000528817	RP11-1236K1.11	8	11901015	11901179
ENSG00000232390	ENST00000433858	NDUFA5P1	11	3343092	3343432
ENSG00000230204	ENST00000425761	FTH1P5	6	50880425	50880969
ENSG00000250442	ENST00000514461	EIF3KP3	4	116964563	116965201
ENSG00000229947	ENST00000448147	RP13-766D20.1	17	79480089	79480210
ENSG00000254954	ENST00000531560	SLC2A13P1	8	61054380	61054701
ENSG00000220326	ENST00000401679	RP11-129H15.1	6	121962155	121962367
ENSG00000243601	ENST00000474907	RP11-152P17.1	8	106749508	106749993
ENSG00000226338	ENST00000443733	AC079150.2	2	154064600	154064677
ENSG00000255544	ENST00000527787	DEFB108P3	8	11952685	11957045
ENSG00000230950	ENST00000436242	MTND2P21	2	117782653	117783694
ENSG00000249259	ENST00000513136	RP11-166J5.1	4	117016266	117018222
ENSG00000234488	ENST00000411843	AC096664.1	2	63911439	63911844
ENSG00000235219	ENST00000434979	CTC-233O10.1	X	152459852	152462342
ENSG00000244703	ENST00000441364	CD46P1	1	207818579	207830755
ENSG00000232198	ENST00000421994	RP4-633H17.2	1	55838383	55838989
ENSG00000214024	ENST00000397284	AC012501.1	2	154227126	154227578
ENSG00000250627	ENST00000512513	TTC39CP1	4	117115153	117115907
ENSG00000231590	ENST00000456962	RP11-353J17.3	X	101680349	101682995
ENSG00000225710	ENST00000438396	RP5-875O13.6	1	16875146	16879026
ENSG00000228872	ENST00000393996	AC096664.2	2	63944256	63945033
ENSG00000218180	ENST00000406156	SLC25A5P7	6	121974941	121975836
ENSG00000242575	ENST00000437634	AC012501.3	2	154277191	154278471
ENSG00000223756	ENST00000529482	TSSC2	11	3402191	3430208
ENSG00000223756	ENST00000526284	TSSC2	11	3402191	3430208
ENSG00000223756	ENST00000530366	TSSC2	11	3402191	3430208
ENSG00000223756	ENST00000526488	TSSC2	11	3402191	3430208
ENSG00000223756	ENST00000533775	TSSC2	11	3402191	3430208
ENSG00000223756	ENST00000450217	TSSC2	11	3402191	3430208
ENSG00000250825	ENST00000505622	PGAM1P12	15	96984796	96985543
ENSG00000216754	ENST00000396909	RP1-190J20.2	6	15103177	15104361
ENSG00000267961	ENST00000601666	OR10B1P	19	15251943	15252849
ENSG00000237409	ENST00000415679	RP11-226L15.1	1	159990090	159990517
ENSG00000248234	ENST00000513087	CTD-2108O9.4	5	38429994	38430262
ENSG00000228898	ENST00000431831	AC012365.3	2	117784113	117784600
ENSG00000226729	ENST00000484185	RPL35AP30	12	120397228	120397558
ENSG00000270306	ENST00000605336	RP3-437C15.2	6	51250080	51250647
ENSG00000264958	ENST00000579299	ALOX12P1	17	28856706	28869434
ENSG00000213830	ENST00000508046	CFL1P5	5	68609198	68609699
ENSG00000219135	ENST00000406913	RP11-129H15.3	6	122001118	122001605
ENSG00000236917	ENST00000421360	DNAJA1P2	2	154617963	154619159
ENSG00000242295	ENST00000465747	RP11-522B15.1	15	96991384	96991723
ENSG00000255575	ENST00000540773	RP1-267D11.1	12	120494839	120494984
ENSG00000232702	ENST00000416077	RP3-437C15.1	6	51274879	51275335
ENSG00000232702	ENST00000543596	RP3-437C15.1	6	51274879	51275335
ENSG00000229221	ENST00000416539	HNRNPA1P66	2	63978831	63979764
ENSG00000227291	ENST00000440211	AC092170.1	2	117938468	117939138
ENSG00000217139	ENST00000403062	RP11-129H15.4	6	122004071	122005418
ENSG00000226289	ENST00000442572	RP11-57I17.3	1	207831799	207832487
ENSG00000229115	ENST00000411924	RP11-417B4.3	9	126521499	126522054
ENSG00000214641	ENST00000398713	RP11-793K1.1	6	51401953	51402341
ENSG00000225900	ENST00000451143	HSPE1P13	2	39325290	39325586
ENSG00000240194	ENST00000474680	CYMP	1	111023374	111033899
ENSG00000240194	ENST00000462836	CYMP	1	111023374	111033899
ENSG00000240194	ENST00000420853	CYMP	1	111023374	111033899
ENSG00000234219	ENST00000435216	RP11-454L1.2	1	207935929	207936608
ENSG00000215006	ENST00000503744	CHCHD2P2	5	68629756	68630076
ENSG00000176318	ENST00000325117	FOXN3P1	X	101801662	101803141
ENSG00000230251	ENST00000437447	PHBP4	2	155143102	155143938
ENSG00000227104	ENST00000426300	PIGQP1	1	56404387	56404953
ENSG00000259340	ENST00000559699	CTD-2027G2.1	15	97094611	97094747
ENSG00000234881	ENST00000421400	PIGFP2	9	126605315	126605965
ENSG00000224931	ENST00000415779	AC152010.1	X	152537078	152543260
ENSG00000224931	ENST00000458091	AC152010.1	X	152537078	152543260
ENSG00000215264	ENST00000462503	RP1-84O15.1	8	34180510	34181160
ENSG00000231245	ENST00000426049	C1DP1	10	32800264	32800665
ENSG00000225110	ENST00000436629	LL0XNC01-16G2.1	X	152583141	152586144
ENSG00000214424	ENST00000533428	FAM149B1P1	15	97300217	97301826
ENSG00000214027	ENST00000448802	ARPC3P5	6	15935013	15935546
ENSG00000220184	ENST00000406327	HMGB3P18	6	122179325	122179914
ENSG00000258271	ENST00000548858	RP11-356O22.4	12	93923336	93923765
ENSG00000238040	ENST00000423288	SALL4P2	X	129005285	129011543
ENSG00000254923	ENST00000526505	RP11-1236K1.8	8	11985616	11986807
ENSG00000229871	ENST00000441455	RP4-710M16.1	1	56673239	56674128
ENSG00000224261	ENST00000453374	RP11-179G5.1	1	160236130	160237015
ENSG00000228816	ENST00000432033	AK3P5	10	33233409	33233927
ENSG00000232249	ENST00000428521	LL0XNC01-37G1.2	X	152621191	152621414
ENSG00000217585	ENST00000408034	RP1-13D10.5	6	16107853	16108824
ENSG00000254408	ENST00000532342	OR4A1P	11	49919819	49920738
ENSG00000214897	ENST00000445091	U82695.5	X	152662421	152664307
ENSG00000214897	ENST00000427876	U82695.5	X	152662421	152664307
ENSG00000235082	ENST00000439961	SUMO1P3	1	160287193	160287496
ENSG00000232362	ENST00000440646	ATP5LP2	6	123180823	123181133
ENSG00000228837	ENST00000430257	CBX3P6	2	155797053	155797579
ENSG00000254472	ENST00000527050	OR4A49P	11	49936565	49937196
ENSG00000189398	ENST00000344740	OR7E12P	11	3412010	3412982
ENSG00000244381	ENST00000484597	RP11-3K16.1	3	169427083	169427553
ENSG00000218363	ENST00000408043	SLC25A20P1	6	52111258	52112160
ENSG00000218073	ENST00000407522	RP1-13D10.2	6	16161157	16161642
ENSG00000226301	ENST00000534575	PDCL3P1	8	61299821	61300554
ENSG00000196970	ENST00000360035	NXF4	X	101804893	101826623
ENSG00000196970	ENST00000416098	NXF4	X	101804893	101826623
ENSG00000217078	ENST00000404531	RP1-13D10.3	6	16163608	16163993
ENSG00000254637	ENST00000529103	OR4A18P	11	49938943	49940030
ENSG00000226843	ENST00000427435	RP11-2P2.1	1	208428635	208428721
ENSG00000216364	ENST00000403169	MRPL42P2	6	16171837	16172262
ENSG00000232982	ENST00000431457	AC092662.2	2	156119970	156120236
ENSG00000166492	ENST00000448322	FAM86GP	11	3431582	3443726
ENSG00000125631	ENST00000430851	HTR5BP	2	118617003	118692518
ENSG00000125631	ENST00000434708	HTR5BP	2	118617003	118692518
ENSG00000254940	ENST00000533579	OR4A19P	11	49941864	49942966
ENSG00000241278	ENST00000487446	ENPP7P4	3	125567066	125628215
ENSG00000229701	ENST00000440805	MTND2P20	2	156120675	156121335
ENSG00000228874	ENST00000445502	AC090954.5	3	15173355	15173715
ENSG00000235101	ENST00000423837	SETP9	1	160639938	160640769
ENSG00000254624	ENST00000525084	OR4R3P	11	49944601	49945438
ENSG00000227887	ENST00000419030	RPS26P13	1	208870714	208871043
ENSG00000271045	ENST00000604683	RP11-1113N2.4	5	68645763	68646272
ENSG00000240083	ENST00000488297	RPS3AP22	5	87677774	87678542
ENSG00000243181	ENST00000477341	RP11-734J24.1	8	34731677	34732151
ENSG00000255840	ENST00000537903	AC022555.1	8	61334378	61334454
ENSG00000244717	ENST00000496370	RPS27P14	5	68765710	68765963
ENSG00000255199	ENST00000526931	RP11-227P3.1	11	50060063	50062069
ENSG00000237415	ENST00000432731	NRBF2P3	1	111390699	111391563
ENSG00000236776	ENST00000446654	RPL21P23	1	57004124	57004583
ENSG00000186301	ENST00000457982	MST1P2	1	16972069	16976914
ENSG00000186301	ENST00000334429	MST1P2	1	16972069	16976914
ENSG00000186301	ENST00000418421	MST1P2	1	16972069	16976914
ENSG00000227682	ENST00000412323	ATP5A1P2	2	156126145	156126399
ENSG00000255442	ENST00000533593	RP11-347H15.1	11	50129327	50149612
ENSG00000232024	ENST00000411836	LSM12P1	8	35382694	35383281
ENSG00000232791	ENST00000486033	OR11I1P	1	111396560	111397513
ENSG00000255522	ENST00000531775	RP13-726E6.3	11	3552650	3552838
ENSG00000270382	ENST00000605188	RP1-152L7.9	6	52522171	52522449
ENSG00000233709	ENST00000426217	MTND4P28	2	156167535	156167921
ENSG00000219314	ENST00000407586	RP1-273P12.1	6	17381598	17382351
ENSG00000224980	ENST00000421838	RP11-377K22.3	1	57051285	57051915
ENSG00000240128	ENST00000469825	KRT18P43	3	169620768	169622048
ENSG00000233039	ENST00000452896	MTND5P30	2	156168209	156169939
ENSG00000236919	ENST00000529200	RP11-347H15.6	11	50205725	50206932
ENSG00000237226	ENST00000426436	RPS3AP39	11	3570975	3571749
ENSG00000171084	ENST00000467239	FAM86JP	3	125635463	125648867
ENSG00000171084	ENST00000484500	FAM86JP	3	125635463	125648867
ENSG00000171084	ENST00000486431	FAM86JP	3	125635463	125648867
ENSG00000171084	ENST00000485843	FAM86JP	3	125635463	125648867
ENSG00000216775	ENST00000602367	RP1-152L7.5	6	52529946	52533953
ENSG00000216775	ENST00000406724	RP1-152L7.5	6	52529946	52533953
ENSG00000227239	ENST00000452210	AL121985.1	1	160667760	160668001
ENSG00000184612	ENST00000333817	RPL7P26	6	17531130	17531883
ENSG00000248626	ENST00000505218	GAPDHP40	5	159377500	159378505
ENSG00000226003	ENST00000447284	RP11-312J18.3	1	160817800	160818292
ENSG00000226232	ENST00000532298	RP11-419C5.2	16	70010291	70030091
ENSG00000226232	ENST00000525562	RP11-419C5.2	16	70010291	70030091
ENSG00000226232	ENST00000526720	RP11-419C5.2	16	70010291	70030091
ENSG00000244039	ENST00000493762	RP11-379K17.2	3	169649786	169651017
ENSG00000248477	ENST00000510264	RP11-848G14.2	5	68902926	68919876
ENSG00000248477	ENST00000513164	RP11-848G14.2	5	68902926	68919876
ENSG00000227578	ENST00000454716	RPS3AP53	3	15182887	15183664
ENSG00000250306	ENST00000514065	CTC-498M16.3	5	87678765	87679077
ENSG00000233248	ENST00000458075	MTND6P9	2	156169952	156170470
ENSG00000217889	ENST00000434763	KRT18P48	X	152869952	152870803
ENSG00000223688	ENST00000417526	RPS24P14	11	3580887	3581252
ENSG00000225475	ENST00000442812	RP11-377K22.2	1	57085082	57085222
ENSG00000250272	ENST00000505515	TRMT112P1	4	117300075	117300425
ENSG00000213080	ENST00000425270	RP11-312J18.5	1	160864770	160865866
ENSG00000223908	ENST00000520807	AC068657.2	5	159450747	159451052
ENSG00000229935	ENST00000431021	AC092662.6	2	156170578	156170880
ENSG00000218359	ENST00000403109	SUMO2P13	6	17582265	17582536
ENSG00000225672	ENST00000423082	CCNT2P1	1	111550322	111558152
ENSG00000253239	ENST00000523272	IGLVI-70	22	22380474	22380991
ENSG00000230851	ENST00000415407	AP006294.2	11	3612507	3612845
ENSG00000248139	ENST00000514750	CUL4AP1	4	117347139	117352048
ENSG00000228081	ENST00000431570	RP11-385M4.2	1	209346359	209346720
ENSG00000238161	ENST00000422682	OR7E117P	11	3620825	3621936
ENSG00000254355	ENST00000519525	IGLVI-68	22	22387143	22387592
ENSG00000270354	ENST00000604190	RP11-547M24.1	2	64435632	64435850
ENSG00000224967	ENST00000426307	AC009303.3	2	118691601	118692365
ENSG00000224540	ENST00000429208	RP11-385M4.3	1	209405541	209406764
ENSG00000230524	ENST00000487147	COL6A4P1	3	15193340	15247466
ENSG00000230524	ENST00000508169	COL6A4P1	3	15193340	15247466
ENSG00000230524	ENST00000446690	COL6A4P1	3	15193340	15247466
ENSG00000230524	ENST00000491915	COL6A4P1	3	15193340	15247466
ENSG00000230524	ENST00000518859	COL6A4P1	3	15193340	15247466
ENSG00000203518	ENST00000359815	AL023807.1	6	17894075	17894300
ENSG00000213391	ENST00000406288	RP11-66N11.6	X	152871972	152872343
ENSG00000235548	ENST00000450741	AC073551.1	2	156889759	156890592
ENSG00000244193	ENST00000494834	RP11-379K17.5	3	169663775	169664542
ENSG00000249333	ENST00000423821	LL22NC03-23C6.12	22	22393042	22393525
ENSG00000253772	ENST00000523689	RP11-34P1.1	5	159674524	159675224
ENSG00000255185	ENST00000534700	PDXDC2P	16	70044654	70099848
ENSG00000255185	ENST00000529118	PDXDC2P	16	70044654	70099848
ENSG00000255185	ENST00000533264	PDXDC2P	16	70044654	70099848
ENSG00000255185	ENST00000534580	PDXDC2P	16	70044654	70099848
ENSG00000255185	ENST00000527016	PDXDC2P	16	70044654	70099848
ENSG00000255185	ENST00000525173	PDXDC2P	16	70044654	70099848
ENSG00000250138	ENST00000515156	RP11-848G14.5	5	68927790	68932312
ENSG00000250138	ENST00000538480	RP11-848G14.5	5	68927790	68932312
ENSG00000220920	ENST00000407932	RP3-525L6.2	6	17953803	17954161
ENSG00000231744	ENST00000440419	RP11-164H5.1	9	127360986	127361859
ENSG00000233691	ENST00000450131	RP11-312J18.7	1	160905327	160905916
ENSG00000253794	ENST00000519446	IGLV10-67	22	22398016	22398340
ENSG00000236040	ENST00000456220	CHIAP1	1	111792876	111799337
ENSG00000225712	ENST00000433580	ATP5G2P1	1	209441143	209441568
ENSG00000228161	ENST00000413294	LL22NC03-23C6.15	22	22400828	22400989
ENSG00000182048	ENST00000451043	TRPC2	11	3631131	3658789
ENSG00000182048	ENST00000526541	TRPC2	11	3631131	3658789
ENSG00000182048	ENST00000399582	TRPC2	11	3631131	3658789
ENSG00000232879	ENST00000433122	RP11-544M22.3	1	161004624	161004796
ENSG00000228930	ENST00000429327	MTCO1P3	21	46796106	46796297
ENSG00000236888	ENST00000434808	RPS20P5	1	58071519	58071878
ENSG00000238069	ENST00000416050	RPLP0P7	2	157634218	157634884
ENSG00000242583	ENST00000461049	RP11-379K17.9	3	169780032	169780739
ENSG00000213493	ENST00000514175	ACTN4P1	4	117519317	117520767
ENSG00000253874	ENST00000521832	IGLVIV-66-1	22	22412845	22413304
ENSG00000217414	ENST00000404856	RP11-528A10.2	6	18363648	18365654
ENSG00000218976	ENST00000407347	RP11-528A10.1	6	18366967	18368875
ENSG00000266931	ENST00000592457	RP11-1252D15.1	2	87282781	87282923
ENSG00000213133	ENST00000440334	PPP1R14BP5	6	126579067	126579501
ENSG00000271053	ENST00000603758	RP11-97F8.1	4	117779249	117780129
ENSG00000226430	ENST00000530447	USP17L7	8	11989926	11991953
ENSG00000226430	ENST00000416902	USP17L7	8	11989926	11991953
ENSG00000254373	ENST00000522428	RP11-34P1.2	5	159685260	159685592
ENSG00000223605	ENST00000451226	AC107399.1	4	118171080	118171344
ENSG00000253203	ENST00000513408	GUSBP3	5	68790040	69006341
ENSG00000253203	ENST00000509348	GUSBP3	5	68790040	69006341
ENSG00000253203	ENST00000380759	GUSBP3	5	68790040	69006341
ENSG00000254866	ENST00000529497	DEFB109P3	8	12008404	12008643
ENSG00000220377	ENST00000404253	RP1-152L7.3	6	52552728	52568623
ENSG00000230395	ENST00000426110	AC092651.1	2	87345657	87348103
ENSG00000213194	ENST00000434574	AC016732.2	2	158067359	158068051
ENSG00000270612	ENST00000604371	RP11-34P1.4	5	159753700	159753976
ENSG00000203878	ENST00000369743	CHIAP2	1	111822681	111828738
ENSG00000203878	ENST00000456752	CHIAP2	1	111822681	111828738
ENSG00000203878	ENST00000532686	CHIAP2	1	111822681	111828738
ENSG00000203878	ENST00000449687	CHIAP2	1	111822681	111828738
ENSG00000205879	ENST00000511144	FAM90A2P	8	12029711	12036084
ENSG00000241416	ENST00000463294	KRT8P13	3	170213416	170214425
ENSG00000220548	ENST00000402383	VIMP1	6	126923502	126924795
ENSG00000236484	ENST00000436212	RRM2P2	1	161348497	161349148
ENSG00000248577	ENST00000505442	RP11-122C5.2	5	38763260	38764391
ENSG00000213174	ENST00000398900	RP11-373E16.1	3	170371635	170372048
ENSG00000255369	ENST00000531824	RP11-740D6.3	11	128750220	128750563
